店名,カテゴリ,月,火,水,木,金,土,日,備考
Flour&water/DRA7 （HAB＠1F）,飲食,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,"TEL:
ADDR:
HOURS:
ランチ 11:00-17:00 （LO 15:30)
ディナー 17:00-23:00 （LO 22:00)
NOTE: ディナーは要予約
TAG:
"
FLOWER’S living art（HAB＠1F）,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL:
ADDR:
NOTE:
TAG:
"
BABY CUE （HAB＠B1F）,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL:080-8943-3542
ADDR:
NOTE:
TAG:
"
熊本 魚蔵 （HAB＠2F）,飲食,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,"TEL: 096-288-0344
ADDR:
NOTE: （L.O 22:00）
TAG:
"
喫茶＆BAR タビビトノサロン （HAB＠2F）,飲食,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,"TEL: 096-227-6755
ADDR: 
NOTE: L.O 22:30
TAG: 
"
コリアンキッチン シジャン （HAB＠2F）,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL: 096-274-8699
ADDR: 
NOTE: L.O 21:00
TAG: 
"
BREADAY （HAB＠2F）,ショッピング,11:00-18:00,11:00-18:00,11:00-18:00,定休日（第1・第3）,11:00-18:00,11:00-18:00,11:00-18:00,"TEL: 096-274-8189
ADDR: 
NOTE: 
TAG: 
"
Ajisen World （HAB＠2F）,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL: 096-273-7700
ADDR: 
NOTE: L.O 21:30
TAG: 
"
おらが蕎麦 （HAB＠2F）,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL: 096-274-8722
ADDR: 
NOTE: L.O 21:00
TAG: 
"
博多天ぷら たかお （HAB＠2F）,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL: 096-327-9779
ADDR: 
NOTE: 
TAG: 
"
熊本屋台村,飲食,15:00-23:30,15:00-23:30,15:00-23:30,15:00-23:30,15:00-23:30,12:00-23:30,12:00-23:30,"TEL: 
ADDR: 
NOTE: 祝日（12:00-23:30）
TAG: 
"
Swiss 下通本店,ショッピング,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-23:00,10:00-23:00,10:00-20:00,"TEL: 096-352-1252
ADDR: 〒860-0801 熊本市中央区安政町5-2
NOTE: 祝前日（10:00-23:00）/　祝日（10:00-20:00）
TAG: 
"
Swiss 下通本店 （カフェ）,飲食,10:00-18:30,10:00-18:30,10:00-18:30,10:00-18:30,10:00-22:00,10:00-22:00,11:00-18:30,"TEL: 096-352-1252
ADDR: 〒860-0801 熊本市中央区安政町5-2
NOTE: 祝前日（11:00-22:00 L.O 21:30）/　祝日（11:00-18:30 L.O 18:00）
TAG:
"
Swiss 上通店,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-21:00,10:00-21:00,10:00-20:00,"TEL: 096-355-7141
ADDR: 〒860-0845 熊本県熊本市中央区上通町1-15
NOTE: 祝前日（10:00-21:00）祝日（10:00-20:00）
TAG: 
"
Swiss 上通店 （カフェ）,飲食,11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,11:30-18:30,11:00-18:30,11:00-18:30,"TEL: 096-355-7141
ADDR: 〒860-0845 熊本県熊本市中央区上通町1-15
NOTE: 祝前日（11:30-18:30 L.O 18:00）祝日（11:00-18:30 L.O 18:00）
TAG: 
"
Swiss 栄通セカンドサイト店,ショッピング,17:30-23:00,17:30-23:00,17:30-23:00,17:30-23:00,17:30-25:00,17:30-25:00,17:30-22:00,"TEL: 096-355-7141
ADDR: 〒860-0806 熊本県熊本市中央区花畑町13-10 セカンドサイト1階 
NOTE: 祝前日（17:30-23:00）祝日（17:30-22:00）
TAG: 
"
"くまもと旬彩館さくら （B1 サクラマチクマモト）
",ショッピング,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,"TEL: 096-300-8120
ADDR: 
NOTE: 免税カウンター対応
TAG: 
"
くまモンビレッジ,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL: 096-300-5449
ADDR: 〒860-0805 熊本県熊本市中央区桜町3番10号 サクラマチクマモト2階
NOTE: 
TAG: 
"
アミュプラザくまもと（1F-6F）,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL: 
ADDR: 
NOTE: 
TAG: 
"
アミュプラザくまもと 肥後よかモン市場 （物販）,ショッピング,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,9:00-20:00,"TEL: 
ADDR: 
NOTE: 一部営業時間が異なる店舗がございます。
TAG: 
"
アミュプラザくまもと 肥後よかモン市場 （飲食）,飲食,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,"TEL: 
ADDR: 
NOTE: 一部営業時間が異なる店舗がございます。
TAG: 
"
アミュプラザくまもと 駅から百八歩横丁,飲食,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,"TEL: 
ADDR: 
NOTE: 
TAG: 
"
くまもんスクエア,ショッピング,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,"TEL: 096-327-9066
ADDR: 熊本市中央区手取本町8番2号テトリアくまもとビル 1階
NOTE: 
TAG: 
"
熊本城,観光・エリア,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,"TEL: 
ADDR: 
NOTE: 最終入園 16:00　天守閣最終登閣 16:30
TAG: 
"
熊本博物館,観光・エリア,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,"TEL: 096-324-3500
ADDR: 〒860-0007　熊本市中央区古京町3-2
NOTE: 休館日（祝日の場合は翌日）
TAG: 
"
わくわく座,文化・体験,9:00-17:30,9:00-17:30,9:00-17:30,9:00-17:30,9:00-17:30,9:00-17:30,9:00-17:30,"TEL: 096-288-5600
ADDR: 〒860-0008 熊本市中央区二の丸1番1
NOTE: 
TAG: 
"
桜の馬場城彩苑 （桜の小路・お食事処　喫茶・甘味）,飲食,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,"TEL: 096-288-5577
ADDR: 〒860-0008 熊本市中央区二の丸1番1
NOTE: （L.O 18:00）
TAG: 
"
桜の馬場城彩苑 （桜の小路・お土産処　食べ歩き）,ショッピング,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,"TEL: 096-288-5577
ADDR: 〒860-0008 熊本市中央区二の丸1番1
NOTE: 
TAG: 
"
ダイニングカフェ彩 （市役所14F）,飲食,"11:00-14:00
17:00-22:00 （要予約）","11:00-14:00
17:00-22:00 （要予約）","11:00-14:00
17:00-22:00 （要予約）","11:00-14:00
17:00-22:00 （要予約）","11:00-14:00
17:00-22:00 （要予約）","11:00-14:00
17:00-22:00 （要予約）",定休日,"TEL: 096-328-2954
ADDR: 〒860-0808 熊本市中央区手取本町1-1（市役所14階）
NOTE: 夜はご予約制で2名様より
TAG: #お城ビュー　#ランチ
"
熊本市現代美術館,文化・体験,10:00-20:00,定休日,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL: 096-278-7500
ADDR: 〒860-0845 熊本市中央区上通町2番3号 びぷれす熊日会館3階
NOTE: 火曜日が祝日の場合は開館し、翌平日休館
TAG: #アート　#工房
"
汽水社,ショッピング,11:00-21:00,11:00-21:00,11:00-21:00,定休日（第2・第4）,11:00-21:00,11:00-21:00,11:00-21:00,"TEL: 096-288-0315
ADDR: 熊本市中央区城東町5-37-1F
NOTE: 
TAG: 
"
BIG TIME,ショッピング,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,"TEL: 050-3530-7932
ADDR: 〒860-0845 熊本県熊本市中央区上通町8-22 1F/B1F
NOTE: 
TAG: 
"
手取天満宮・汗かき地蔵,観光・エリア,24時間営業,24時間営業,24時間営業,24時間営業,24時間営業,24時間営業,24時間営業,"TEL: 096-355-0520
ADDR: 〒860-0845 熊本県熊本市中央区上通町５−３４
NOTE: 
TAG: 
"
金龍堂 まるぶん店,ショッピング,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,"TEL: 096-356-4733
ADDR: 〒860-0845 熊本市中央区上通町5-1
NOTE: カッパのいる本屋
TAG: #本　#書籍　#古書
"
蜂楽饅頭,飲食,10:00-19:00,定休日,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,"TEL: 096-352-0380
ADDR: 熊本県熊本市上通町5-4
NOTE: 売切れ次第閉店
TAG: 
"
otto,バー,13:00-24:00,13:00-24:00,13:00-24:00,定休日,13:00-24:00,13:00-24:00,13:00-24:00,"TEL: 096-273-6675
ADDR: 〒860-0844 熊本県熊本市中央区水道町2-12 江副ビル 2階
NOTE: 
TAG: 
"
OMOKEN PARK,飲食,11:00-18:00,定休日,11:00-18:00,11:00-18:00,11:00-19:00,11:00-19:00,11:00-18:00,"TEL: 096-288-0230
ADDR: 〒860-0845 熊本県熊本市中央区上通町7-7-1
NOTE: 
TAG: 
"
お茶の堀野園 茶以香 上通店,飲食,11:00-19:00,定休日,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,"TEL: 096-355-1100
ADDR: 〒860-0845 熊本県熊本市中央区上通町7-10 上通パレス草人木1階
NOTE: （L.O 18:30）
TAG: 
"
舒文堂河島書店,ショッピング,10:00-18:30,定休日,10:00-18:30,10:00-18:30,10:00-18:30,10:00-18:30,10:00-18:30,"TEL: 096-352-1701
ADDR: 〒860-0845 熊本県熊本市中央区上通町11-2
NOTE: 
TAG: 
"
MARUIWA,飲食,11:00-19:00,12:00-19:00,定休日,12:00-19:00,12:00-19:00,11:00-19:00,11:00-19:00,"TEL: 070-6594-1900
ADDR: 〒860-0845 熊本市中央区上通町8番23号 岩崎ビル1F
NOTE: 
TAG: 
"
こむらさき,飲食,"11:00-16:00
18:00-22:00","11:00-16:00
18:00-22:00","11:00-16:00
18:00-22:00","11:00-16:00
18:00-22:00","11:00-16:00
18:00-22:00","11:00-16:00
18:00-22:00","11:00-16:00
18:00-22:00","TEL: 096-325-8972
ADDR: 熊本県熊本市中央区上通町8-16
NOTE: 前半（LO.15:30）　後半（LO.21:30）/   店休日:年末年始
TAG: #ラーメン

"
赤組,飲食,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30,11:00-25:30,11:00-25:30,11:00-23:30,"TEL: 096-325-8766
ADDR: 熊本県熊本市中央区上通町7-29
NOTE: 日～木（LO 23:00）/  金・土（LO 25:00）/  祝前日 11:00-25:30（LO 25:00）
TAG: #ラーメン

"
テラス　TERRACE,飲食,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,17:30-24:00,17:00-23:00,"TEL: 
ADDR: 
NOTE: 
TAG: #ディナー
"
旬家はちどり,飲食,17:00-24:00,17:00-24:00,17:00-24:00,17:00-24:00,17:00-24:00,17:00-24:00,17:00-24:00,"TEL: 
ADDR: 
NOTE: 料理（L.O. 23:00）/ ドリンク（L.O. 23:30）　/
不定休/ お問い合わせ時間  15:00～23:00 
TAG: 
"
惣や,飲食,15:00-25:00,15:00-25:00,15:00-25:00,15:00-25:00,15:00-25:00,15:00-25:00,15:00-24:00,"TEL: 092-408-6232
ADDR: 
NOTE: 月～土（LO 25:00）日（LO 24:00）
祝前日 15:00-25:00（LO 25:00） 祝日 15:00-24:00（LO 24:00）
TAG: 
"
旬処 悟とう （本店） ,飲食,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,定休日,"TEL: 096-355-5567
ADDR: 〒860-0807 熊本県熊本市中央区下通2丁目1-29 HAPPYビル B1F
NOTE:  料理（LO. 22:00） /  ドリンク（LO. 22:30）
日曜日（団体様のご予約はご相談ください）
TAG: 
"
熊本馬刺個室 悟とう 別庭,飲食,"11:30-14:30
18:00-21:00","11:30-14:30
18:00-21:00","11:30-14:30
18:00-21:00","11:30-14:30
18:00-21:00","11:30-14:30
18:00-21:00","11:30-14:30
18:00-21:00",定休日,"TEL: 050-5487-2362
ADDR: 〒860-0808 熊本県熊本市中央区手取本町2-11
NOTE: 昼食（L.O.14:00）/  ディナー（L.O.20:00）
TAG: 
"
赤のれん,飲食,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-26:00,18:00-26:00,定休日,"TEL: 096-322-9662
ADDR: 〒860-0803 熊本県熊本市中央区新市街８−１ 木戸商会ビル
NOTE: 現金のみ
TAG: #ラーメン
"
旬彩料理邸宅 八伍邸,飲食,"11:00-15:00
17:00-24:00","11:00-15:00
17:00-24:00","11:00-15:00
17:00-24:00","11:00-15:00
17:00-24:00","11:00-15:00
17:00-26:00","11:00-15:00
17:00-26:00","11:00-15:00
17:00-24:00","TEL: 096-324-8505
ADDR: 〒860-0845
熊本県熊本市中央区上通町 5-41
NOTE: 全日 （LO 14:30）/（LO 23:00）  
TAG: 
"
瑠璃庵　Ruri-AN,飲食,17:30-23:00,定休日,17:30-23:00,17:30-23:00,17:30-23:00,17:30-23:00,17:30-23:00,"TEL: 096-352-8174
ADDR: 熊本県熊本市中央区南坪井町5-21　2F
NOTE: 料理　LO 22:00 ドリンク　LO 22:30
藤崎宮前駅出口より徒歩約3分
TAG: 
"
夜香木,バー,18:00-24:30,定休日,18:00-24:30,18:00-24:30,18:00-24:30,18:00-24:30,18:00-24:30,"TEL: 090-8408-5211
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町5-21 1F 夜香木
NOTE: アジアのBEST BAR 25位
TAG: 
"
紅蘭亭 （下通本店）,飲食,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,"TEL: 096-352-7177(御予約専用)
ADDR: 熊本市中央区安政町5-26
NOTE: LO 20:00
TAG: 
"
紅蘭亭 （上通パビリオン）,飲食,11:00-15:00,定休日,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,"TEL: 096-352-3812
ADDR: 熊本市中央区上通町1-15
NOTE: LO 14:15
TAG: 
"
城屋 080-5802-1222,飲食,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-23:00,"TEL: 080-5802-1222
ADDR: 〒860-0801 熊本県熊本市中央区安政町7-28 2階B号 2階 右手前店舗
NOTE: 
TAG: 
"
ラフカディオ,飲食,15:00-23:00,15:00-23:00,15:00-23:00,15:00-23:00,15:00-23:00,15:00-23:00,13:00-23:00,"TEL: 096-354-0013
ADDR: 〒860-0843 熊本県熊本市中央区草葉町2-3 松岡アパート 1F-C
NOTE: 
TAG: 
"
味処お川,飲食,"11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00",18:00-22:00,定休日,"TEL: 096-353-2393
ADDR: 〒860-0845 熊本県熊本市中央区上通町4-10 3F
NOTE: 
TAG: #お城ビュー　#ランチ
"
くさは餅本舗　本店,飲食,定休日,8:30-16:00,8:30-16:00,8:30-16:00,8:30-16:00,8:30-16:00,8:30-16:00,"TEL: 096-359-0788
ADDR: 〒860-0842 熊本県熊本市中央区南千反畑町13-16
NOTE: 
TAG: 
"
長崎書店,ショッピング,"11:00-19:00 （有人）
9:30-11:00 （無人）
19:00-22:00 （無人）","11:00-19:00 （有人）
9:30-11:00 （無人）
19:00-22:00 （無人）","11:00-19:00 （有人）
9:30-11:00 （無人）
19:00-22:00 （無人）","11:00-19:00 （有人）
9:30-11:00 （無人）
19:00-22:00 （無人）","11:00-19:00 （有人）
9:30-11:00 （無人）
19:00-22:00 （無人）","11:00-19:00 （有人）
9:30-11:00 （無人）
19:00-22:00 （無人）","11:00-19:00 （有人）
9:30-11:00 （無人）
19:00-22:00 （無人）","TEL: 096-353-0555
ADDR: 熊本市中央区上通町6-23
NOTE: 休日 元日
TAG: #本　#書籍　#古書
"
うな雅,飲食,定休日,"11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","11:45-13:30
18:00-22:00","TEL: 096-273-8814
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町 5-21
NOTE: 
TAG: 
"
上乃裏　焼鳥おだちゃん,飲食,18:00-27:00,18:00-27:00,18:00-27:00,18:00-27:00,18:00-27:00,18:00-27:00,18:00-27:00,"TEL: 096-356-1511
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町2-3 Kビル 1F
NOTE: 
TAG: #うなぎ　
"
スタンド黄色,飲食,17:00-24:00,17:00-24:00,定休日,17:00-24:00,17:00-25:00,14:00-24:00,14:00-24:00,"TEL: 096-247-7311
ADDR: 〒860-0848 熊本県熊本市中央区南坪井町3-7 宮野ビル 1F
NOTE: 
TAG: 
"
タチノミマチノ （座って呑める）,飲食,定休日,定休日,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,定休日,"TEL: 096-352-0772
ADDR: 〒860-0802 熊本県熊本市中央区中央街8-17
NOTE: 座って飲める　現金のみ
TAG: 
"
馬桜 （銀座通り店）,飲食,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-23:00,12:00-23:00,12:00-22:00,"TEL: 
ADDR: 
NOTE: (月)～(木) （LO 21:30）/ (土)　【ランチ】（LO 14:00）【ディナー】（LO 22:00）/ (日)【ランチ】（LO 14:00）【ディナー】（LO 21:30）※土曜、日曜、祝日14:30〜16:30の間はクローズ（準備中）
TAG: 
"
馬桜 （下通店）,飲食,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,16:00-23:00,16:00-23:00,"TEL: 
ADDR: 
NOTE: LO 22:00
TAG: 
"
惣や,飲食,15:00-25:00,15:00-25:00,15:00-25:00,15:00-25:00,15:00-25:00,15:00-25:00,15:00-24:00,"TEL: 096-352-0129
ADDR: 熊本市中央区手取本町2-20手取本町Aビル
NOTE: 祝日 15:00-24:00 /  月～土・祝前日（L.O.1:00）/ 日・祝日（L.O.24:00）
TAG: 
"
月〇,飲食,17:00-25:00,17:00-25:00,17:00-25:00,17:00-25:00,17:00-25:00,17:00-25:00,17:00-25:00,"TEL: 096-355-8124
ADDR: 熊本市中央区下通1-6-12天神壱番館ビル1F
NOTE: 
TAG: 
"
郷彩 根っこ,飲食,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,定休日,"TEL: 096-324-5181
ADDR: 熊本県熊本市中央区水道町2-16
NOTE: 料理（L.O. 22:30） ドリンク（L.O. 22:30）
TAG: 
"
赤組,飲食,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30,11:00-25:30,11:00-25:30,11:00-23:30,"TEL: 096-325-8766
ADDR: 〒860-0845 熊本県熊本市中央区上通町 7-29
NOTE: 
TAG: #ラーメン

"
肥後の陣屋,飲食,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,17:00-23:00,定休日,"TEL: 096-211-1414
ADDR: 〒860-0807 熊本県熊本市中央区下通1-5-20
NOTE: （L.O.22：00）/  定休日        毎週日曜（三連休の場合は最終日の月曜休み）12月31日・1月1日・1月2日
TAG: 
"
アマケン,飲食,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-26:00,18:00-26:00,18:00-24:00,"TEL: 096-355-2238
ADDR: 熊本県熊本市中央区下通1-9-26
NOTE: 祝前日：18:00-26:00　不定休
TAG: 
"
新市街•菜な,飲食,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-23:00,17:00-23:00,17:00-22:00,"TEL: 096-312-0039
ADDR: 〒860-0803 熊本県熊本市中央区新市街2-8 パーキングビル1Ｆ
NOTE: 月～木、日、祝日（料理L.O. 21:30 ドリンクL.O. 21:30）/
金、土、祝前日（料理L.O. 22:30 ドリンクL.O. 22:30）/
お問い合わせ時間        14:00～翌1:00
TAG: 
"
新市街•炭火焼 麒麟,飲食,17:30-24:00,17:30-24:00,17:30-24:00,定休日,17:30-24:00,17:30-24:00,17:00-22:00,"TEL: 096-327-2203
ADDR: 〒860-0803 熊本県熊本市中央区新市街 3-21
NOTE: 
TAG: 
"
西銀座通り•夜な夜な食堂一ツ目亭,飲食,18:00-27:00,18:00-27:00,定休日,18:00-27:00,18:00-29:00,18:00-29:00,18:00-27:00,"TEL: 090-2083-5196
ADDR: 〒860-0806 熊本県熊本市中央区花畑町13-17 木村ビル 2F
NOTE: 
TAG: 
"
不知火美術館,文化・体験,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,"TEL: 0964-32-6222
ADDR: 〒869-0552　熊本県宇城市不知火町高良2352
NOTE: 
TAG: 
"
不知火図書館,文化・体験,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,"TEL: 0964-32-6211
ADDR: 〒869-0552　熊本県宇城市不知火町高良2352
NOTE: こども絵本のいえ 9:00-18:00
TAG: 
"
下通•タビビトノキ,バー,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,18:00-25:00,"TEL: 
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目8-30 B1F
NOTE: 
TAG: 
"
Gluck Coffee Spot,飲食,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,"TEL: 096-288-2556
ADDR: 〒860-0846 熊本県熊本市中央区城東町5-52
NOTE: 
TAG: 
"
黒亭下通,飲食,10:30-23:30,10:30-23:00,10:30-23:30,10:30-23:30,10:30-23:00,10:30-23:30,10:30-23:30,"TEL: 096-321-6202
ADDR: 〒860-0807 熊本市中央区下通1丁目7-14 ノグチビル1階
NOTE: L.O（23:00）/ 不定休
TAG: #ラーメン
"
天外天　熊本駅店,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL: 096-342-6856
ADDR: 〒860-0047 熊本県熊本市西区春日3丁目15-30
NOTE: 
TAG: #ラーメン
"
熊本郷土料理　酒ト肴　もなか,飲食,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,18:00-24:00,定休日,"TEL: 096-354-3488
ADDR: 〒860-0807 熊本県熊本市中央区下通１丁目6-12 2F
NOTE: 
TAG: #馬肉　#馬刺し
"
馬肉酒場三村,飲食,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,"TEL: 096-326-1055
ADDR: 〒860-0807 熊本県熊本市中央区下通2丁目1-31 味万ビル 1階
NOTE: 
TAG: #馬肉　#馬刺し
"
馬料理専門　二代目　天國,飲食,18:00-22:30,18:00-22:30,18:00-22:30,18:00-22:30,18:00-22:30,18:00-22:30,18:00-22:30,"TEL: 096-323-1059
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目11-20 コンフォート乃ぞみ 1F
NOTE: 
TAG: #馬肉　#馬刺し
"
たいちろう,飲食,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,定休日,"TEL: 096-342-6500
ADDR: 〒860-0807 熊本県熊本市中央区下通1丁目5-10 TTビル 3F
NOTE: 
TAG: #馬肉　#馬刺し
"
